index,date,open,high,low,close,volume
0,"2019/11/19, 11:00:00",1.09756,1.09822,1.09711,1.09809,1e+100
1,"2019/11/19, 15:00:00",1.09809,1.09868,1.09638,1.09765,1e+100
2,"2019/11/19, 19:00:00",1.09765,1.09809,1.09714,1.09727,1e+100
3,"2019/11/19, 23:00:00",1.09727,1.09809,1.09621,1.09677,1e+100
4,"2019/11/20, 03:00:00",1.09677,1.09724,1.0963,1.09659,1e+100
5,"2019/11/20, 07:00:00",1.09659,1.09705,1.09519,1.0969,1e+100
6,"2019/11/20, 11:00:00",1.0969,1.09864,1.09668,1.0983,1e+100
7,"2019/11/20, 15:00:00",1.0983,1.10014,1.09668,1.09685,1e+100
8,"2019/11/20, 19:00:00",1.09685,1.09803,1.09602,1.09732,1e+100
9,"2019/11/20, 23:00:00",1.09732,1.09789,1.09561,1.096,1e+100
10,"2019/11/21, 03:00:00",1.096,1.09765,1.09573,1.09742,1e+100
11,"2019/11/21, 07:00:00",1.09742,1.09829,1.09695,1.09811,1e+100
12,"2019/11/21, 11:00:00",1.09811,1.10035,1.09739,1.09873,1e+100
13,"2019/11/21, 15:00:00",1.09873,1.09895,1.09761,1.09807,1e+100
14,"2019/11/21, 19:00:00",1.09807,1.09864,1.09801,1.09828,1e+100
15,"2019/11/21, 23:00:00",1.09828,1.09953,1.09783,1.09946,1e+100
16,"2019/11/22, 03:00:00",1.09946,1.09957,1.09908,1.09955,1e+100
17,"2019/11/22, 07:00:00",1.09955,1.10108,1.09806,1.099,1e+100
18,"2019/11/22, 11:00:00",1.099,1.09996,1.0983,1.0997,1e+100
19,"2019/11/22, 15:00:00",1.0997,1.10026,1.09834,1.09989,1e+100
20,"2019/11/22, 19:00:00",1.09989,1.10003,1.0987,1.09948,1e+100
21,"2019/11/24, 23:00:00",1.09948,1.10013,1.09914,1.09917,1e+100
22,"2019/11/25, 03:00:00",1.09917,1.10011,1.09826,1.09988,1e+100
23,"2019/11/25, 07:00:00",1.09988,1.10004,1.09844,1.09866,1e+100
24,"2019/11/25, 11:00:00",1.09866,1.09966,1.09824,1.09942,1e+100
25,"2019/11/25, 15:00:00",1.09942,1.09963,1.09673,1.09702,1e+100
26,"2019/11/25, 19:00:00",1.09702,1.09802,1.09698,1.09762,1e+100
27,"2019/11/25, 23:00:00",1.09762,1.09845,1.0971,1.09785,1e+100
28,"2019/11/26, 03:00:00",1.09785,1.09788,1.09734,1.09769,1e+100
29,"2019/11/26, 07:00:00",1.09769,1.1,1.09762,1.09884,1e+100
30,"2019/11/26, 11:00:00",1.09884,1.09931,1.09817,1.0984,1e+100
31,"2019/11/26, 15:00:00",1.0984,1.1,1.098,1.09933,1e+100
32,"2019/11/26, 19:00:00",1.09933,1.0996,1.09868,1.09913,1e+100
33,"2019/11/26, 23:00:00",1.09913,1.09968,1.099,1.09933,1e+100
34,"2019/11/27, 03:00:00",1.09933,1.09945,1.09873,1.09891,1e+100
35,"2019/11/27, 07:00:00",1.09891,1.09951,1.098,1.09851,1e+100
36,"2019/11/27, 11:00:00",1.09851,1.09941,1.09814,1.09892,1e+100
37,"2019/11/27, 15:00:00",1.09892,1.10005,1.09841,1.0997,1e+100
38,"2019/11/27, 19:00:00",1.0997,1.09999,1.09916,1.09917,1e+100
39,"2019/11/27, 23:00:00",1.09917,1.09983,1.09851,1.0992,1e+100
40,"2019/11/28, 03:00:00",1.0992,1.09965,1.09914,1.09959,1e+100
41,"2019/11/28, 07:00:00",1.09959,1.10031,1.09933,1.09996,1e+100
42,"2019/11/28, 11:00:00",1.09996,1.09996,1.09861,1.0995,1e+100
43,"2019/11/28, 15:00:00",1.0995,1.09997,1.09894,1.09965,1e+100
44,"2019/11/28, 19:00:00",1.09965,1.10002,1.09907,1.09944,1e+100
45,"2019/11/28, 23:00:00",1.09944,1.09999,1.09908,1.09956,1e+100
46,"2019/11/29, 03:00:00",1.09956,1.09979,1.09914,1.09924,1e+100
47,"2019/11/29, 07:00:00",1.09924,1.10031,1.09909,1.10006,1e+100
48,"2019/11/29, 11:00:00",1.10006,1.10121,1.0995,1.10112,1e+100
49,"2019/11/29, 15:00:00",1.10112,1.10233,1.10078,1.10131,1e+100
50,"2019/11/29, 19:00:00",1.10131,1.10202,1.10121,1.10195,1e+100
51,"2019/12/01, 23:00:00",1.10195,1.10275,1.10176,1.10206,1e+100
52,"2019/12/02, 03:00:00",1.10206,1.10245,1.10161,1.10193,1e+100
53,"2019/12/02, 07:00:00",1.10193,1.10246,1.10118,1.10143,1e+100
54,"2019/12/02, 11:00:00",1.10143,1.10168,1.09833,1.09965,1e+100
55,"2019/12/02, 15:00:00",1.09965,1.10051,1.09825,1.09874,1e+100
56,"2019/12/02, 19:00:00",1.09874,1.09918,1.09822,1.09833,1e+100
57,"2019/12/02, 23:00:00",1.09833,1.099,1.09788,1.09823,1e+100
58,"2019/12/03, 03:00:00",1.09823,1.09933,1.09814,1.09884,1e+100
59,"2019/12/03, 07:00:00",1.09884,1.09925,1.09623,1.0965,1e+100
60,"2019/12/03, 11:00:00",1.0965,1.09713,1.09416,1.09427,1e+100
61,"2019/12/03, 15:00:00",1.09427,1.09505,1.09275,1.09362,1e+100
62,"2019/12/03, 19:00:00",1.09362,1.09405,1.09327,1.0939,1e+100
63,"2019/12/03, 23:00:00",1.0939,1.09426,1.09319,1.09365,1e+100
64,"2019/12/04, 03:00:00",1.09365,1.09396,1.09342,1.09375,1e+100
65,"2019/12/04, 07:00:00",1.09375,1.09536,1.09214,1.09488,1e+100
66,"2019/12/04, 11:00:00",1.09488,1.09634,1.09422,1.09633,1e+100
67,"2019/12/04, 15:00:00",1.09633,1.0969,1.09524,1.09589,1e+100
68,"2019/12/04, 19:00:00",1.09589,1.09596,1.09513,1.09531,1e+100
69,"2019/12/04, 23:00:00",1.09531,1.09572,1.09497,1.09532,1e+100
70,"2019/12/05, 03:00:00",1.09532,1.09552,1.09457,1.09463,1e+100
71,"2019/12/05, 07:00:00",1.09463,1.09735,1.09414,1.09712,1e+100
72,"2019/12/05, 11:00:00",1.09712,1.09756,1.09603,1.09752,1e+100
73,"2019/12/05, 15:00:00",1.09752,1.09828,1.09581,1.09629,1e+100
74,"2019/12/05, 19:00:00",1.09629,1.09666,1.09539,1.09618,1e+100
75,"2019/12/05, 23:00:00",1.09618,1.09651,1.09596,1.09615,1e+100
76,"2019/12/06, 03:00:00",1.09615,1.09678,1.09614,1.09631,1e+100
77,"2019/12/06, 07:00:00",1.09631,1.09749,1.09558,1.09639,1e+100
78,"2019/12/06, 11:00:00",1.09639,1.09807,1.09623,1.09705,1e+100
79,"2019/12/06, 15:00:00",1.09705,1.09721,1.09447,1.09469,1e+100
80,"2019/12/06, 19:00:00",1.09469,1.09543,1.09431,1.09532,1e+100
81,"2019/12/08, 23:00:00",1.09532,1.09589,1.09468,1.09518,1e+100
82,"2019/12/09, 03:00:00",1.09518,1.09592,1.09501,1.09585,1e+100
83,"2019/12/09, 07:00:00",1.09585,1.09651,1.09498,1.09573,1e+100
84,"2019/12/09, 11:00:00",1.09573,1.09675,1.09524,1.09586,1e+100
85,"2019/12/09, 15:00:00",1.09586,1.09586,1.09297,1.09317,1e+100
86,"2019/12/09, 19:00:00",1.09317,1.09342,1.09277,1.09302,1e+100
87,"2019/12/09, 23:00:00",1.09302,1.09356,1.09283,1.09351,1e+100
88,"2019/12/10, 03:00:00",1.09351,1.09356,1.09321,1.09329,1e+100
89,"2019/12/10, 07:00:00",1.09329,1.09333,1.09239,1.0925,1e+100
90,"2019/12/10, 11:00:00",1.0925,1.09334,1.09123,1.09234,1e+100
91,"2019/12/10, 15:00:00",1.09234,1.09371,1.09213,1.09216,1e+100
92,"2019/12/10, 19:00:00",1.09216,1.09247,1.09119,1.09202,1e+100
93,"2019/12/10, 23:00:00",1.09202,1.0923,1.09148,1.09201,1e+100
94,"2019/12/11, 03:00:00",1.09201,1.09247,1.09195,1.09235,1e+100
95,"2019/12/11, 07:00:00",1.09235,1.09237,1.09106,1.09158,1e+100
96,"2019/12/11, 11:00:00",1.09158,1.09251,1.0914,1.09205,1e+100
97,"2019/12/11, 15:00:00",1.09205,1.09405,1.09204,1.0935,1e+100
98,"2019/12/11, 19:00:00",1.0935,1.09454,1.09314,1.09405,1e+100
