index,date,open,high,low,close,volume
0,"2021/02/01, 01:30:00",1.21283,1.21283,1.21216,1.21234,1e+100
1,"2021/02/01, 01:45:00",1.21234,1.213,1.21234,1.213,1e+100
2,"2021/02/01, 02:00:00",1.213,1.21344,1.21272,1.21289,1e+100
3,"2021/02/01, 02:15:00",1.21289,1.21367,1.21284,1.21352,1e+100
4,"2021/02/01, 02:30:00",1.21352,1.21361,1.21276,1.21292,1e+100
5,"2021/02/01, 02:45:00",1.21292,1.21314,1.21258,1.21275,1e+100
6,"2021/02/01, 03:00:00",1.21275,1.21292,1.21258,1.21288,1e+100
7,"2021/02/01, 03:15:00",1.21288,1.21298,1.21268,1.21278,1e+100
8,"2021/02/01, 03:30:00",1.21278,1.21293,1.21247,1.21278,1e+100
9,"2021/02/01, 03:45:00",1.21278,1.21279,1.21258,1.21271,1e+100
10,"2021/02/01, 04:00:00",1.21271,1.21276,1.21259,1.21265,1e+100
11,"2021/02/01, 04:15:00",1.21265,1.21295,1.21263,1.21289,1e+100
12,"2021/02/01, 04:30:00",1.21289,1.21319,1.21289,1.21315,1e+100
13,"2021/02/01, 04:45:00",1.21315,1.21317,1.21289,1.21297,1e+100
14,"2021/02/01, 05:00:00",1.21297,1.21329,1.21293,1.21325,1e+100
15,"2021/02/01, 05:15:00",1.21325,1.2133,1.21304,1.21309,1e+100
16,"2021/02/01, 05:30:00",1.21309,1.21318,1.21292,1.21305,1e+100
17,"2021/02/01, 05:45:00",1.21305,1.21313,1.21276,1.2128,1e+100
18,"2021/02/01, 06:00:00",1.2128,1.21296,1.21278,1.21288,1e+100
19,"2021/02/01, 06:15:00",1.21288,1.2129,1.21263,1.21271,1e+100
20,"2021/02/01, 06:30:00",1.21271,1.21288,1.2126,1.21269,1e+100
21,"2021/02/01, 06:45:00",1.21269,1.21324,1.21267,1.21302,1e+100
22,"2021/02/01, 07:00:00",1.21302,1.21328,1.21284,1.21322,1e+100
23,"2021/02/01, 07:15:00",1.21322,1.21322,1.21303,1.21308,1e+100
24,"2021/02/01, 07:30:00",1.21308,1.21309,1.2128,1.21293,1e+100
25,"2021/02/01, 07:45:00",1.21293,1.21298,1.2128,1.21294,1e+100
26,"2021/02/01, 08:00:00",1.21294,1.2131,1.21218,1.21224,1e+100
27,"2021/02/01, 08:15:00",1.21224,1.21271,1.21221,1.21252,1e+100
28,"2021/02/01, 08:30:00",1.21252,1.21291,1.21238,1.21275,1e+100
29,"2021/02/01, 08:45:00",1.21275,1.21295,1.21241,1.21285,1e+100
30,"2021/02/01, 09:00:00",1.21285,1.21303,1.2118,1.21296,1e+100
31,"2021/02/01, 09:15:00",1.21296,1.21309,1.21129,1.2113,1e+100
