index,date,open,high,low,close,volume
0,"2020/11/04, 11:00:00",0.69281,0.69286,0.69079,0.69169,1e+100
1,"2020/11/04, 12:00:00",0.69169,0.69272,0.69095,0.69241,1e+100
2,"2020/11/04, 13:00:00",0.69241,0.69343,0.69198,0.69199,1e+100
3,"2020/11/04, 14:00:00",0.69199,0.6935,0.69188,0.69196,1e+100
4,"2020/11/04, 15:00:00",0.69196,0.69279,0.69182,0.69262,1e+100
5,"2020/11/04, 16:00:00",0.69262,0.69507,0.69224,0.69431,1e+100
6,"2020/11/04, 17:00:00",0.69431,0.69479,0.69326,0.69453,1e+100
7,"2020/11/04, 18:00:00",0.69453,0.6959,0.6945,0.69554,1e+100
8,"2020/11/04, 19:00:00",0.69554,0.69633,0.69537,0.69555,1e+100
9,"2020/11/04, 20:00:00",0.69555,0.69559,0.69487,0.69508,1e+100
10,"2020/11/04, 21:00:00",0.69508,0.69518,0.69377,0.69441,1e+100
11,"2020/11/04, 22:00:00",0.69441,0.69528,0.69366,0.69394,1e+100
12,"2020/11/04, 23:00:00",0.69394,0.69549,0.69388,0.69499,1e+100
13,"2020/11/05, 00:00:00",0.69499,0.69536,0.694,0.6945,1e+100
14,"2020/11/05, 01:00:00",0.6945,0.69457,0.6938,0.69381,1e+100
15,"2020/11/05, 02:00:00",0.69381,0.69392,0.69242,0.69255,1e+100
16,"2020/11/05, 03:00:00",0.69255,0.69321,0.69242,0.69294,1e+100
17,"2020/11/05, 04:00:00",0.69294,0.6935,0.69293,0.69329,1e+100
18,"2020/11/05, 05:00:00",0.69329,0.69367,0.69326,0.69363,1e+100
19,"2020/11/05, 06:00:00",0.69363,0.69397,0.6935,0.69385,1e+100
20,"2020/11/05, 07:00:00",0.69385,0.69389,0.69302,0.69337,1e+100
21,"2020/11/05, 08:00:00",0.69337,0.69401,0.69329,0.69354,1e+100
22,"2020/11/05, 09:00:00",0.69354,0.69402,0.69257,0.69265,1e+100
23,"2020/11/05, 10:00:00",0.69265,0.69274,0.69116,0.69153,1e+100
24,"2020/11/05, 11:00:00",0.69153,0.69204,0.69097,0.69135,1e+100
25,"2020/11/05, 12:00:00",0.69135,0.69192,0.69101,0.69165,1e+100
26,"2020/11/05, 13:00:00",0.69165,0.69432,0.69129,0.69282,1e+100
27,"2020/11/05, 14:00:00",0.69282,0.6933,0.69249,0.69313,1e+100
28,"2020/11/05, 15:00:00",0.69313,0.69481,0.69297,0.69473,1e+100
29,"2020/11/05, 16:00:00",0.69473,0.69633,0.69473,0.6954,1e+100
30,"2020/11/05, 17:00:00",0.6954,0.69545,0.69431,0.69473,1e+100
31,"2020/11/05, 18:00:00",0.69473,0.69489,0.69366,0.69422,1e+100
32,"2020/11/05, 19:00:00",0.69422,0.69455,0.69362,0.69381,1e+100
33,"2020/11/05, 20:00:00",0.69381,0.69407,0.69321,0.69355,1e+100
34,"2020/11/05, 21:00:00",0.69355,0.69411,0.69281,0.69318,1e+100
35,"2020/11/05, 22:00:00",0.69318,0.69405,0.69261,0.69405,1e+100
36,"2020/11/05, 23:00:00",0.69405,0.69409,0.69257,0.69279,1e+100
37,"2020/11/06, 00:00:00",0.69279,0.69307,0.69066,0.69126,1e+100
38,"2020/11/06, 01:00:00",0.69126,0.69246,0.69124,0.69234,1e+100
39,"2020/11/06, 02:00:00",0.69234,0.69234,0.69178,0.69209,1e+100
40,"2020/11/06, 03:00:00",0.69209,0.69211,0.69113,0.69143,1e+100
41,"2020/11/06, 04:00:00",0.69143,0.69148,0.69024,0.69037,1e+100
42,"2020/11/06, 05:00:00",0.69037,0.69054,0.69016,0.69029,1e+100
43,"2020/11/06, 06:00:00",0.69029,0.69073,0.69025,0.69051,1e+100
44,"2020/11/06, 07:00:00",0.69051,0.69061,0.69019,0.69027,1e+100
45,"2020/11/06, 08:00:00",0.69027,0.69119,0.6901,0.69118,1e+100
46,"2020/11/06, 09:00:00",0.69118,0.69192,0.6899,0.6899,1e+100
47,"2020/11/06, 10:00:00",0.6899,0.69045,0.68944,0.68971,1e+100
48,"2020/11/06, 11:00:00",0.68971,0.68995,0.68934,0.68982,1e+100
49,"2020/11/06, 12:00:00",0.68982,0.68982,0.68887,0.68908,1e+100
50,"2020/11/06, 13:00:00",0.68908,0.68945,0.68798,0.68838,1e+100
51,"2020/11/06, 14:00:00",0.68838,0.68923,0.68802,0.68843,1e+100
52,"2020/11/06, 15:00:00",0.68843,0.69052,0.68839,0.69003,1e+100
53,"2020/11/06, 16:00:00",0.69003,0.69047,0.68922,0.69021,1e+100
54,"2020/11/06, 17:00:00",0.69021,0.69051,0.68937,0.68977,1e+100
55,"2020/11/06, 18:00:00",0.68977,0.69025,0.6894,0.69012,1e+100
56,"2020/11/06, 19:00:00",0.69012,0.69045,0.6899,0.69034,1e+100
57,"2020/11/06, 20:00:00",0.69034,0.69078,0.68977,0.69049,1e+100
58,"2020/11/06, 21:00:00",0.69049,0.69052,0.68992,0.69002,1e+100
59,"2020/11/06, 22:00:00",0.69002,0.69011,0.68879,0.68886,1e+100
60,"2020/11/08, 23:00:00",0.68886,0.69008,0.68886,0.68971,1e+100
61,"2020/11/09, 00:00:00",0.68971,0.69063,0.68953,0.69055,1e+100
62,"2020/11/09, 01:00:00",0.69055,0.69101,0.69038,0.69088,1e+100
63,"2020/11/09, 02:00:00",0.69088,0.69155,0.69085,0.69137,1e+100
